scope,lhs,rhs,delta_tick,nearest_horizon,horizon_error,nearest_landmark,landmark_error
nist-selected-self,Sodium Na II 1807.0900 A [vacuum],Sodium Na II 2859.4900 A [air],31.985689320162237,32.0,0.014310679837763018,32.0,0.014310679837763018
nist-selected-same-element,Sodium Na II 1807.0900 A [vacuum],Sodium Na II 2859.4900 A [air],31.985689320162237,32.0,0.014310679837763018,32.0,0.014310679837763018
nist-selected-self,Sodium Na II 3135.4800 A [air],Cesium Cs II 7852.5200 A [air],63.98540764142308,64.0,0.01459235857691965,64.0,0.01459235857691965
nist-selected-self,Sodium Na II 6544.0400 A [air],Sodium Na I 16388.8500 A [air],63.98500945137221,64.0,0.014990548627793032,64.0,0.014990548627793032
nist-selected-same-element,Sodium Na II 6544.0400 A [air],Sodium Na I 16388.8500 A [air],63.98500945137221,64.0,0.014990548627793032,64.0,0.014990548627793032
nist-selected-self,Hydrogen H I 930.7482 A [vacuum],Cesium Cs I 5838.8300 A [air],127.9842305804932,128.0,0.015769419506796112,128.0,0.015769419506796112
nist-selected-self,Sodium Na II 3009.1400 A [air],Cesium Cs II 4763.6400 A [air],32.01581843644908,32.0,0.015818436449080764,32.0,0.015818436449080764
nist-selected-self,Sodium Na II 2859.4900 A [air],Cesium Cs II 4526.7400 A [air],32.01588730657568,32.0,0.01588730657567794,32.0,0.01588730657567794
nist-selected-self,Sodium Na I 10746.4400 A [air],Cesium Cs I 17012.3200 A [air],32.01620123235625,32.0,0.01620123235625215,32.0,0.01620123235625215
nist-selected-self,Sodium Na I 12679.1700 A [air],Cesium Cs II 8012.9800 A [air],31.983758160215075,32.0,0.016241839784925105,32.0,0.016241839784925105
nist-selected-self,Helium He I 10830.3398 A [air],Sodium Na I 4324.6200 A [air],63.98366062567675,64.0,0.016339374323251832,64.0,0.016339374323251832
nist-selected-self,Helium He I 9529.2700 A [air],Cesium Cs II 3805.1200 A [air],63.983202380921284,64.0,0.016797619078715798,64.0,0.016797619078715798
nist-selected-self,Helium He I 10830.2501 A [air],Sodium Na I 4324.6200 A [air],63.98308337332401,64.0,0.01691662667599303,64.0,0.01691662667599303
nist-selected-self,Sodium Na II 3631.2700 A [air],Cesium Cs I 7228.5300 A [air],47.98306712247086,48.0,0.016932877529143298,48.0,0.016932877529143298
nist-selected-self,Sodium Na I 22056.4400 A [air],Cesium Cs I 34900.1300 A [air],31.98293356085742,32.0,0.017066439142581658,32.0,0.017066439142581658
nist-selected-self,Sodium Na II 2611.8100 A [air],Sodium Na II 6544.0400 A [air],64.01739972420091,64.0,0.017399724200913624,64.0,0.017399724200913624
nist-selected-same-element,Sodium Na II 2611.8100 A [air],Sodium Na II 6544.0400 A [air],64.01739972420091,64.0,0.017399724200913624,64.0,0.017399724200913624
nist-selected-self,Helium He I 18685.3400 A [air],Sodium Na II 2977.1300 A [air],128.01786460564108,128.0,0.017864605641079834,128.0,0.017864605641079834
nist-selected-self,Helium He I 320.2930 A [vacuum],Helium He I 507.0580 A [vacuum],32.01801213376257,32.0,0.018012133762567828,32.0,0.018012133762567828
nist-selected-same-element,Helium He I 320.2930 A [vacuum],Helium He I 507.0580 A [vacuum],32.01801213376257,32.0,0.018012133762567828,32.0,0.018012133762567828
nist-selected-self,Helium He I 6678.1517 A [air],Sodium Na I 10572.2800 A [air],32.01835997377839,32.0,0.01835997377838794,32.0,0.01835997377838794
nist-selected-self,Helium He I 4713.1460 A [air],Sodium Na II 2977.1300 A [air],32.01847515519603,32.0,0.018475155196028936,32.0,0.018475155196028936
nist-selected-self,Sodium Na II 1798.4100 A [vacuum],Cesium Cs II 718.1400 A [vacuum],63.98132738153163,64.0,0.018672618468372093,64.0,0.018672618468372093
nist-selected-self,Helium He I 4143.7600 A [air],Helium He II 6560.1000 A [air],32.01891996893937,32.0,0.018919968939371756,32.0,0.018919968939371756
nist-selected-same-element,Helium He I 4143.7600 A [air],Helium He II 6560.1000 A [air],32.01891996893937,32.0,0.018919968939371756,32.0,0.018919968939371756
nist-selected-self,Helium He I 2763.8000 A [air],Cesium Cs II 4373.0400 A [air],31.98055993856542,32.0,0.019440061434579547,32.0,0.019440061434579547
nist-selected-self,Sodium Na I 5889.9500 A [air],Cesium Cs I 23344.4700 A [air],95.98050040098133,96.0,0.019499599018672598,96.0,0.019499599018672598
nist-selected-self,Helium He I 18697.2300 A [air],Sodium Na II 2980.6300 A [air],127.98031100152457,128.0,0.019688998475430708,128.0,0.019688998475430708
nist-selected-self,Helium He I 3187.7400 A [air],Cesium Cs II 5043.8000 A [air],31.980259505685353,32.0,0.01974049431464664,32.0,0.01974049431464664
nist-selected-self,Sodium Na I 14767.4800 A [air],Sodium Na I 23379.1300 A [air],32.0198970964575,32.0,0.019897096457498264,32.0,0.019897096457498264
nist-selected-same-element,Sodium Na I 14767.4800 A [air],Sodium Na I 23379.1300 A [air],32.0198970964575,32.0,0.019897096457498264,32.0,0.019897096457498264
nist-selected-self,Helium He II 6560.1000 A [air],Cesium Cs II 10379.6600 A [air],31.97989085655081,32.0,0.020109143449190015,32.0,0.020109143449190015
nist-selected-self,Sodium Na I 4324.6200 A [air],Cesium Cs II 8608.3100 A [air],47.979616698777136,48.0,0.020383301222864247,48.0,0.020383301222864247
nist-selected-self,Helium He I 9702.6000 A [air],Cesium Cs II 6128.6100 A [air],32.02056911952786,32.0,0.020569119527863222,32.0,0.020569119527863222
nist-selected-self,Sodium Na I 7809.7800 A [air],Cesium Cs I 30953.0600 A [air],95.97927738590988,96.0,0.02072261409011844,96.0,0.02072261409011844
nist-selected-self,Sodium Na II 2917.5200 A [air],Cesium Cs II 4616.1700 A [air],31.979134049177446,32.0,0.020865950822553714,32.0,0.020865950822553714
nist-selected-self,Helium He I 12790.5700 A [air],Cesium Cs I 8079.0400 A [air],32.02121080558027,32.0,0.021210805580267333,32.0,0.021210805580267333
nist-selected-self,Sodium Na II 2920.9500 A [air],Cesium Cs II 5814.1600 A [air],47.978478908797115,48.0,0.021521091202885145,48.0,0.021521091202885145
nist-selected-self,Sodium Na II 3285.6000 A [air],Sodium Na II 6544.0400 A [air],48.02155246531947,48.0,0.021552465319473413,48.0,0.021552465319473413
nist-selected-same-element,Sodium Na II 3285.6000 A [air],Sodium Na II 6544.0400 A [air],48.02155246531947,48.0,0.021552465319473413,48.0,0.021552465319473413
nist-selected-self,Sodium Na II 300.1500 A [vacuum],Cesium Cs II 1883.9300 A [vacuum],128.02158919308476,128.0,0.021589193084764702,128.0,0.021589193084764702
nist-selected-self,Cesium Cs II 5274.0500 A [air],Cesium Cs II 10504.5100 A [air],48.021600716959256,48.0,0.021600716959255806,48.0,0.021600716959255806
nist-selected-same-element,Cesium Cs II 5274.0500 A [air],Cesium Cs II 10504.5100 A [air],48.021600716959256,48.0,0.021600716959255806,48.0,0.021600716959255806
nist-selected-self,Sodium Na II 3149.2800 A [air],Sodium Na I 4982.8130 A [air],31.978389623926887,32.0,0.021610376073113002,32.0,0.021610376073113002
nist-selected-same-element,Sodium Na II 3149.2800 A [air],Sodium Na I 4982.8130 A [air],31.978389623926887,32.0,0.021610376073113002,32.0,0.021610376073113002
nist-selected-self,Sodium Na I 4393.3400 A [air],Cesium Cs II 6955.5000 A [air],32.021756434140116,32.0,0.021756434140115744,32.0,0.021756434140115744
nist-selected-self,Helium He I 12984.8900 A [air],Sodium Na II 3274.2200 A [air],96.02190625178628,96.0,0.021906251786276698,96.0,0.021906251786276698
nist-selected-self,Helium He I 4713.3800 A [air],Sodium Na II 2977.1300 A [air],32.02193540725875,32.0,0.021935407258752093,32.0,0.021935407258752093
nist-selected-self,Helium He I 4471.4790 A [air],Sodium Na I 11197.2100 A [air],63.977963088784236,64.0,0.02203691121576412,64.0,0.02203691121576412
nist-selected-self,Helium He II 2733.3000 A [air],Sodium Na I 4324.6200 A [air],31.97796232103792,32.0,0.022037678962078644,32.0,0.022037678962078644
nist-selected-self,Cesium Cs II 6128.6100 A [air],Cesium Cs II 15356.6100 A [air],64.02205446704284,64.0,0.022054467042835313,64.0,0.022054467042835313
nist-selected-same-element,Cesium Cs II 6128.6100 A [air],Cesium Cs II 15356.6100 A [air],64.02205446704284,64.0,0.022054467042835313,64.0,0.022054467042835313
nist-selected-self,Helium He I 12790.5700 A [air],Cesium Cs I 8078.9400 A [air],32.02207349899345,32.0,0.022073498993449903,32.0,0.022073498993449903
nist-selected-self,Helium He I 512.0986 A [vacuum],Sodium Na II 3212.1900 A [air],127.9768556377494,128.0,0.0231443622506049,128.0,0.0231443622506049
nist-selected-self,Sodium Na II 2919.0500 A [air],Cesium Cs II 5814.1600 A [air],48.02382964248591,48.0,0.023829642485907243,48.0,0.023829642485907243
nist-selected-self,Sodium Na I 2853.0100 A [air],Sodium Na I 5682.6330 A [air],48.02396929389215,48.0,0.023969293892150745,48.0,0.023969293892150745
nist-selected-same-element,Sodium Na I 2853.0100 A [air],Sodium Na I 5682.6330 A [air],48.02396929389215,48.0,0.023969293892150745,48.0,0.023969293892150745
nist-selected-self,Helium He I 17002.4700 A [air],Sodium Na I 10746.4400 A [air],31.975835578016813,32.0,0.024164421983186912,32.0,0.024164421983186912
nist-selected-self,Helium He I 10829.0911 A [air],Sodium Na I 4324.6200 A [air],63.975624353834064,64.0,0.024375646165935905,64.0,0.024375646165935905
nist-selected-self,Sodium Na II 2980.6300 A [air],Cesium Cs II 1883.9300 A [vacuum],31.97517878299095,32.0,0.02482121700904827,32.0,0.02482121700904827
nist-selected-self,Helium He I 5875.6148 A [air],Sodium Na II 3711.0700 A [air],32.02506710457237,32.0,0.025067104572372045,32.0,0.025067104572372045
nist-selected-self,Helium He I 3634.2300 A [air],Cesium Cs I 22811.8600 A [air],128.02509963747434,128.0,0.025099637474340852,128.0,0.025099637474340852
