species,order,family,mass_g,mass_kg,gestation_days,source
Dobsonia moluccensis,Chiroptera,Pteropodidae,447.64,0.44764,156.43,PanTHERIA_WR05
Dolichotis patagonum,Rodentia,Caviidae,8000,8,97.97,PanTHERIA_WR05
Dolichotis salinicola,Rodentia,Caviidae,1607.6,1.6076,77.5,PanTHERIA_WR05
Dryomys laniger,Rodentia,Gliridae,25.91,0.02591,30.2,PanTHERIA_WR05
Dryomys nitedula,Rodentia,Gliridae,29.5,0.0295,24.5,PanTHERIA_WR05
Dugong dugon,Sirenia,Dugongidae,295000,295,372.52,PanTHERIA_WR05
Dymecodon pilirostris,Soricomorpha,Talpidae,15.46,0.01546,40,PanTHERIA_WR05
Echinops telfairi,Afrosoricida,Tenrecidae,152.25,0.15225,62.54,PanTHERIA_WR05
Echinosorex gymnura,Erinaceomorpha,Erinaceidae,756.53,0.75653,37.74,PanTHERIA_WR05
Echymipera kalubu,Peramelemorphia,Peramelidae,825.16,0.82516,13.03,PanTHERIA_WR05
Eidolon dupreanum,Chiroptera,Pteropodidae,297.58,0.29758,131.32,PanTHERIA_WR05
Eidolon helvum,Chiroptera,Pteropodidae,254.61,0.25461,164.36,PanTHERIA_WR05
Eira barbara,Carnivora,Mustelidae,4134.99,4.13499,66.74,PanTHERIA_WR05
Elaphodus cephalophus,Artiodactyla,Cervidae,23087.87,23.08787,181.24,PanTHERIA_WR05
Elaphurus davidianus,Artiodactyla,Cervidae,165989.17,165.98917,286.49,PanTHERIA_WR05
Enhydra lutris,Carnivora,Mustelidae,27410.93,27.41093,238,PanTHERIA_WR05
Eonycteris spelaea,Chiroptera,Pteropodidae,58.7,0.0587,152.18,PanTHERIA_WR05
Epomophorus crypturus,Chiroptera,Pteropodidae,95.04,0.09504,91.24,PanTHERIA_WR05
Epomophorus gambianus,Chiroptera,Pteropodidae,134.59,0.13459,156.43,PanTHERIA_WR05
Epomophorus labiatus,Chiroptera,Pteropodidae,69.65,0.06965,156.43,PanTHERIA_WR05
Epomophorus wahlbergi,Chiroptera,Pteropodidae,93.59,0.09359,156.43,PanTHERIA_WR05
Epomops buettikoferi,Chiroptera,Pteropodidae,135.67,0.13567,139.92,PanTHERIA_WR05
Epomops franqueti,Chiroptera,Pteropodidae,118.99,0.11899,161.77,PanTHERIA_WR05
Eptesicus furinalis,Chiroptera,Vespertilionidae,7.7,0.0077,92.54,PanTHERIA_WR05
Eptesicus fuscus,Chiroptera,Vespertilionidae,17.49,0.01749,52.14,PanTHERIA_WR05
Genetta tigrina,Carnivora,Viverridae,2066.57,2.06657,71.48,PanTHERIA_WR05
Geocapromys brownii,Rodentia,Capromyidae,1497.48,1.49748,120,PanTHERIA_WR05
Geocapromys ingrahami,Rodentia,Capromyidae,733.52,0.73352,109.21,PanTHERIA_WR05
Geogale aurita,Afrosoricida,Tenrecidae,6.69,0.00669,57.64,PanTHERIA_WR05
Geomys bursarius,Rodentia,Geomyidae,203.75,0.20375,18.5,PanTHERIA_WR05
Geomys knoxjonesi,Rodentia,Geomyidae,172.49,0.17249,23.98,PanTHERIA_WR05
