species,class,order,family,mass_kg,metabolic_rate,metabolic_rate_units,source
Malurus cyaneus,Aves,Passeriformes,Maluridae,0.0087,0.17666667,W,AnimalTraits
Malurus lamberti,Aves,Passeriformes,Maluridae,0.0078,0.18333333,W,AnimalTraits
Acanthagenys rufogularis,Aves,Passeriformes,Meliphagidae,0.0434,0.63333333,W,AnimalTraits
Manorina flavigula,Aves,Passeriformes,Meliphagidae,0.0411,0.61,W,AnimalTraits
Meliphaga lewinii,Aves,Passeriformes,Meliphagidae,0.0362,0.53333333,W,AnimalTraits
Lichenostomus virescens,Aves,Passeriformes,Meliphagidae,0.0207,0.35333333,W,AnimalTraits
Acanthorhynchus tenuirostris,Aves,Passeriformes,Meliphagidae,0.0113,0.27666667,W,AnimalTraits
Pardalotus punctatus,Aves,Passeriformes,Pardalotidae,0.0078,0.22,W,AnimalTraits
Sericornis citreogularis,Aves,Passeriformes,Acanthizidae,0.0169,0.36333333,W,AnimalTraits
Sericornis frontalis,Aves,Passeriformes,Acanthizidae,0.0132,0.32,W,AnimalTraits
Sericornis magnirostris,Aves,Passeriformes,Acanthizidae,0.0087,0.20333333,W,AnimalTraits
Smicrornis brevirostris,Aves,Passeriformes,Acanthizidae,0.0059,0.16333333,W,AnimalTraits
Acanthiza pusilla,Aves,Passeriformes,Acanthizidae,0.0064,0.22333333,W,AnimalTraits
Acanthiza uropygialis,Aves,Passeriformes,Acanthizidae,0.0066,0.17666667,W,AnimalTraits
Acanthiza chrysorrhoa,Aves,Passeriformes,Acanthizidae,0.0083,0.22333333,W,AnimalTraits
Acanthiza lineata,Aves,Passeriformes,Acanthizidae,0.0073,0.16,W,AnimalTraits
Pomatostomus superciliosus,Aves,Passeriformes,Pomatostomidae,0.0361,0.34333333,W,AnimalTraits
Pomatostomus ruficeps,Aves,Passeriformes,Pomatostomidae,0.0454,0.44,W,AnimalTraits
Eopsaltria australis,Aves,Passeriformes,Petroicidae,0.0192,0.35,W,AnimalTraits
Psophodes olivaceus,Aves,Passeriformes,Psophodidae,0.061,0.70666667,W,AnimalTraits
Pachycephala pectoralis,Aves,Passeriformes,Pachycephalidae,0.024,0.36,W,AnimalTraits
Rhipidura fuliginosa,Aves,Passeriformes,Dicruridae,0.0089,0.16333333,W,AnimalTraits
Cracticus torquatus,Aves,Passeriformes,Artamidae,0.0937,0.71,W,AnimalTraits
Strepera graculina,Aves,Passeriformes,Artamidae,0.3067,1.8833333,W,AnimalTraits
Passer domesticus,Aves,Passeriformes,Passeridae,0.023,0.31333333,W,AnimalTraits
Taeniopygia guttata,Aves,Passeriformes,Estrildidae,0.0117,0.21333333,W,AnimalTraits
Neochmia temporalis,Aves,Passeriformes,Estrildidae,0.0096,0.17666667,W,AnimalTraits
Pycnonotus jocosus,Aves,Passeriformes,Pycnonotidae,0.0329,0.35666667,W,AnimalTraits
Zosterops lateralis,Aves,Passeriformes,Zosteropidae,0.0104,0.21,W,AnimalTraits
Zoothera lunulata,Aves,Passeriformes,Turdidae,0.1132,1.0233333,W,AnimalTraits
Turdus merula,Aves,Passeriformes,Turdidae,0.0851,0.96,W,AnimalTraits
Sturnus vulgaris,Aves,Passeriformes,Sturnidae,0.0575,0.58666667,W,AnimalTraits
Acridotheres tristis,Aves,Passeriformes,Sturnidae,0.1023,0.88333333,W,AnimalTraits
Eudyptes pachyrhynchus,Aves,Spheniscoiformes,Spheniscudae,2.6,6.9295417,W,AnimalTraits
Megadyptes antipodes,Aves,Spheniscoiformes,Spheniscudae,4.8,11.533083,W,AnimalTraits
Spheniscus humboldti,Aves,Spheniscoiformes,Spheniscudae,3.87,9.4978333,W,AnimalTraits
Calamospiza melanocorys,Aves,Passeriformes,Passerellidae,0.0326,0.45458889,W,AnimalTraits
Pygoscelis adeliae,Aves,Spheniscoformes,Spheniscidae,3.5,17.888889,W,AnimalTraits
Macronectes giganteus,Aves,Procellariiformes,Procellariidae,3.98,18.131111,W,AnimalTraits
Macronectes giganteus,Aves,Procellariiformes,Procellariidae,3.28,16.582222,W,AnimalTraits
Leucocarbo atriceps,Aves,Pelecaniformes,Phalacrocoracidae,2.66,15.221111,W,AnimalTraits
Stercorarius maccormicki,Aves,Charadriiformes,Stercorariidae,1.13,8.1611111,W,AnimalTraits
Phoebastria immutabilis,Aves,Procellariiformes,Diomedediae,2.522,7.4258889,W,AnimalTraits
Pterodroma hypoleuca,Aves,Procellariiformes,Procellariidae,0.169,1.2581111,W,AnimalTraits
Alectoris chukar,Aves,Galliformes,Phasianidae,0.475,1.9263889,W,AnimalTraits
Macronectes giganteus,Aves,Procellariiformes,Procellariidae,4.78,13.356481,W,AnimalTraits
Thalassarche chrysostoma,Aves,Procellariiformes,Diomedeidae,3.753,8.5069444,W,AnimalTraits
Phoebetria fusca,Aves,Procellariiformes,Diomedeidae,2.875,8.275463,W,AnimalTraits
Procellaria aequinoctialis,Aves,Procellariiformes,Procellariidae,1.287,6.3078704,W,AnimalTraits
Procellaria cinerea,Aves,Procellariiformes,Procellariidae,1.014,5.0115741,W,AnimalTraits
Pterodroma brevirostris,Aves,Procellariiformes,Procellariidae,0.315,1.7708333,W,AnimalTraits
Pterodroma mollis,Aves,Procellariiformes,Procellariidae,0.274,1.7476852,W,AnimalTraits
Pachyptila salvini,Aves,Procellariiformes,Procellariidae,0.165,1.5509259,W,AnimalTraits
Pelecanoides georgicus,Aves,Procellariiformes,Procellariidae,0.127,0.9837963,W,AnimalTraits
Aethopyga christinae,Aves,Passeriformes,Nectariniidae,0.0052,0.37165556,W,AnimalTraits
Cinnyris bifasciatus,Aves,Passeriformes,Nectariniidae,0.0062,0.23715,W,AnimalTraits
Aethopyga siparaja,Aves,Passeriformes,Nectariniidae,0.0068,0.40006667,W,AnimalTraits
Cinnyris venustus,Aves,Passeriformes,Nectariniidae,0.0071,0.32778333,W,AnimalTraits
Cinnyris cupreus,Aves,Passeriformes,Nectariniidae,0.0074,0.40083333,W,AnimalTraits
Hedydipna collaris,Aves,Passeriformes,Nectariniidae,0.0083,0.43275278,W,AnimalTraits
Cyanomitra veroxii,Aves,Passeriformes,Nectariniidae,0.0084,0.44496667,W,AnimalTraits
Chalcomitra adelberti,Aves,Passeriformes,Nectariniidae,0.0095,0.44491667,W,AnimalTraits
Chalcomitra amethystina,Aves,Passeriformes,Nectariniidae,0.01,0.40916667,W,AnimalTraits
Anthreptes orientalis,Aves,Passeriformes,Nectariniidae,0.0118,0.36219444,W,AnimalTraits
Chalcomitra senegalensis,Aves,Passeriformes,Nectariniidae,0.0126,0.392,W,AnimalTraits
Nectarinia tacazze,Aves,Passeriformes,Nectariniidae,0.0135,0.5925,W,AnimalTraits
Nectarinia killmensis,Aves,Passeriformes,Nectariniidae,0.0142,0.54867222,W,AnimalTraits
Coturnix pectoralis,Aves,Galliformes,Phasianidae,0.0958,0.63334444,W,AnimalTraits
