species,order,family,mass_g,mass_kg,weaning_days,source
Zaedyus pichiy,Cingulata,Dasypodidae,1444.76,1.44476,41.88,PanTHERIA_WR05
Zaglossus bruijni,Monotremata,Tachyglossidae,8951.71,8.95171,90.73,PanTHERIA_WR05
Zalophus californianus,Carnivora,Otariidae,137194.86,137.19486,319.01,PanTHERIA_WR05
Zapus hudsonius,Rodentia,Dipodidae,18.43,0.01843,25,PanTHERIA_WR05
Zapus princeps,Rodentia,Dipodidae,27.2,0.0272,29.04,PanTHERIA_WR05
Zapus trinotatus,Rodentia,Dipodidae,27.45,0.02745,30.18,PanTHERIA_WR05
Zelotomys woosnami,Rodentia,Muridae,54.1,0.0541,15.9,PanTHERIA_WR05
Zygodontomys brevicauda,Rodentia,Cricetidae,52.22,0.05222,18.5,PanTHERIA_WR05
Zyzomys argurus,Rodentia,Muridae,40.42,0.04042,34.99,PanTHERIA_WR05
Zyzomys woodwardi,Rodentia,Muridae,95.02,0.09502,34.99,PanTHERIA_WR05
