species,order,family,mass_g,mass_kg,pop_density_per_km2,source
Cercopithecus neglectus,Primates,Cercopithecidae,5324.52,5.32452,29.03,PanTHERIA_WR05
Cercopithecus nictitans,Primates,Cercopithecidae,5256.91,5.25691,22.5,PanTHERIA_WR05
Cercopithecus petaurista,Primates,Cercopithecidae,3233.67,3.23367,25.95,PanTHERIA_WR05
Cercopithecus pogonias,Primates,Cercopithecidae,3578.27,3.57827,19.04,PanTHERIA_WR05
Cerdocyon thous,Carnivora,Canidae,5741.66,5.74166,3.54,PanTHERIA_WR05
Cervus elaphus,Artiodactyla,Cervidae,240867.13,240.86713,2.9,PanTHERIA_WR05
Cervus nippon,Artiodactyla,Cervidae,52999.99,52.99999,0.75,PanTHERIA_WR05
Chaetodipus baileyi,Rodentia,Heteromyidae,28.44,0.02844,3548.51,PanTHERIA_WR05
Chaetodipus fallax,Rodentia,Heteromyidae,19.19,0.01919,502.5,PanTHERIA_WR05
Chaetodipus intermedius,Rodentia,Heteromyidae,14.94,0.01494,425.17,PanTHERIA_WR05
Chaetodipus nelsoni,Rodentia,Heteromyidae,15.53,0.01553,473.46,PanTHERIA_WR05
Chaetodipus penicillatus,Rodentia,Heteromyidae,15.57,0.01557,172.99,PanTHERIA_WR05
Cricetulus migratorius,Rodentia,Cricetidae,30.59,0.03059,221.44,PanTHERIA_WR05
Crocidura fuscomurina,Soricomorpha,Soricidae,5.6,0.0056,135.52,PanTHERIA_WR05
Crocidura hildegardeae,Soricomorpha,Soricidae,10.28,0.01028,347.22,PanTHERIA_WR05
Crocidura hirta,Soricomorpha,Soricidae,15.8,0.0158,44.12,PanTHERIA_WR05
Crocidura russula,Soricomorpha,Soricidae,9.89,0.00989,8850,PanTHERIA_WR05
Crocidura suaveolens,Soricomorpha,Soricidae,7.35,0.00735,5541.66,PanTHERIA_WR05
Equus zebra,Perissodactyla,Equidae,282462.13,282.46213,1.32,PanTHERIA_WR05
Eremitalpa granti,Afrosoricida,Chrysochloridae,22.04,0.02204,37.21,PanTHERIA_WR05
Erethizon dorsatum,Rodentia,Erethizontidae,7419.46,7.41946,3.49,PanTHERIA_WR05
Erignathus barbatus,Carnivora,Phocidae,279999.99,279.99999,0.01,PanTHERIA_WR05
Erinaceus europaeus,Erinaceomorpha,Erinaceidae,777.95,0.77795,123,PanTHERIA_WR05
Erythrocebus patas,Primates,Cercopithecidae,7966.3,7.9663,0.26,PanTHERIA_WR05
Equus asinus,Perissodactyla,Equidae,164998.49,164.99849,3.06,PanTHERIA_WR05
Equus burchellii,Perissodactyla,Equidae,279160.65,279.16065,7,PanTHERIA_WR05
Equus grevyi,Perissodactyla,Equidae,408000.35,408.00035,2.27,PanTHERIA_WR05
Equus hemionus,Perissodactyla,Equidae,235248.07,235.24807,0.69,PanTHERIA_WR05
Genetta genetta,Carnivora,Viverridae,1756.17,1.75617,1.88,PanTHERIA_WR05
Dendrohyrax arboreus,Hyracoidea,Procaviidae,2981.11,2.98111,22.67,PanTHERIA_WR05
Dendrolagus bennettianus,Diprotodontia,Macropodidae,10458.82,10.45882,27.38,PanTHERIA_WR05
Bison bison,Artiodactyla,Bovidae,624577.07,624.57707,0.28,PanTHERIA_WR05
Bison bonasus,Artiodactyla,Bovidae,675876.7,675.8767,0.88,PanTHERIA_WR05
Blarina brevicauda,Soricomorpha,Soricidae,18.56,0.01856,922.93,PanTHERIA_WR05
Blarina carolinensis,Soricomorpha,Soricidae,11.91,0.01191,629.99,PanTHERIA_WR05
Baiomys taylori,Rodentia,Cricetidae,7.43,0.00743,2464.99,PanTHERIA_WR05
Blastocerus dichotomus,Artiodactyla,Cervidae,112518.53,112.51853,0.12,PanTHERIA_WR05
Brachylagus idahoensis,Lagomorpha,Leporidae,431.19,0.43119,864.86,PanTHERIA_WR05
