species,class,order,family,mass_kg,specific_mr,specific_mr_units,source
Pterodroma hypoleuca,Aves,Procellariiformes,Procellariidae,0.1674,5.0555556,W/kg,AnimalTraits
Bulweria bulwerii,Aves,Procellariiformes,Procellariidae,0.087,5.8888889,W/kg,AnimalTraits
Phaethon rubricauda,Aves,Phaethontiformes,Phaethontidae,0.5932,5.6666667,W/kg,AnimalTraits
Onychoprion lunatus,Aves,Charadriiformes,Laridae,0.1317,5.3888889,W/kg,AnimalTraits
Gygis alba,Aves,Charadriiformes,Laridae,0.0981,8.3888889,W/kg,AnimalTraits
Anous minutus,Aves,Charadriiformes,Laridae,0.0902,7.1111111,W/kg,AnimalTraits
Ocreatus underwoodii,Aves,Apodiformes,Trochilidae,0.0027,136.94444,W/kg,AnimalTraits
Chlorostilbon mellisugus,Aves,Apodiformes,Trochilidae,0.0029,118.88889,W/kg,AnimalTraits
Orthorhyncus cristatus,Aves,Apodiformes,Trochilidae,0.0029,104.16667,W/kg,AnimalTraits
Orthorhyncus cristatus,Aves,Apodiformes,Trochilidae,0.0029,83.333333,W/kg,AnimalTraits
Archilochus alexandri,Aves,Apodiformes,Trochilidae,0.0029,132.5,W/kg,AnimalTraits
Archilochus alexandri,Aves,Apodiformes,Trochilidae,0.0032,132.77778,W/kg,AnimalTraits
Chaetocercus mulsant,Aves,Apodiformes,Trochilidae,0.0033,123.88889,W/kg,AnimalTraits
Urosticte benjamini,Aves,Apodiformes,Trochilidae,0.0039,76.111111,W/kg,AnimalTraits
Trochilus scitulus,Aves,Apodiformes,Trochilidae,0.004,142.5,W/kg,AnimalTraits
Chrysuronia oenone,Aves,Apodiformes,Trochilidae,0.005,119.72222,W/kg,AnimalTraits
Florisuga mellivora,Aves,Apodiformes,Trochilidae,0.0069,112.22222,W/kg,AnimalTraits
Aglaeactis cupripennis,Aves,Apodiformes,Trochilidae,0.0072,68.611111,W/kg,AnimalTraits
Boissonneaua matthewsii,Aves,Apodiformes,Trochilidae,0.0072,76.666667,W/kg,AnimalTraits
Anthracothorax nigricollis,Aves,Apodiformes,Trochilidae,0.0077,74.444444,W/kg,AnimalTraits
Eugenes fulgens,Aves,Apodiformes,Trochilidae,0.0079,79.166667,W/kg,AnimalTraits
Lampornis clemenciae,Aves,Apodiformes,Trochilidae,0.008,70,W/kg,AnimalTraits
Lampornis clemenciae,Aves,Apodiformes,Trochilidae,0.0083,83.888889,W/kg,AnimalTraits
Oreotrochilus estella,Aves,Apodiformes,Trochilidae,0.0085,80.555556,W/kg,AnimalTraits
Oreotrochilus estella,Aves,Apodiformes,Trochilidae,0.0089,60.277778,W/kg,AnimalTraits
Eulampis jugularis,Aves,Apodiformes,Trochilidae,0.0095,56.666667,W/kg,AnimalTraits
Patagona gigas,Aves,Apodiformes,Trochilidae,0.0175,54.722222,W/kg,AnimalTraits
Onychoprion fuscatus,Aves,Charadriiformes,Laridae,0.1504,5.3888889,W/kg,AnimalTraits
Struthio camelus,Aves,Struthioniformes,Struthionidae,95.4,0.62777778,W/kg,AnimalTraits
Requena verticalis,Insecta,Orthoptera,Tettigonildae,0.000371,1.8179887,W/kg,AnimalTraits
Fidicina mannifera,Insecta,Hemiptera,Cicadidae,0.00284,1.3271373,W/kg,AnimalTraits
Blaberus giganteous,Insecta,Blattodea,Blaberidae,0.00433,0.82936266,W/kg,AnimalTraits
Aphodius fossor,Insecta,Coleoptera,Scarabaeidae,0.0001213,2.2902778,W/kg,AnimalTraits
Paraponera clavata,Insecta,Hymenoptera,Formicidae,0.00019,2.1660064,W/kg,AnimalTraits
Onymacris plana,Insecta,Coleoptera,Tenebrionidae,0.000691,1.8611111,W/kg,AnimalTraits
Onymacris plana,Insecta,Coleoptera,Tenebrionidae,0.000687,0.83444232,W/kg,AnimalTraits
Physadesmia globosa,Insecta,Coleoptera,Tenebrionidae,0.000652,1.0055556,W/kg,AnimalTraits
Physadesmia globosa,Insecta,Coleoptera,Tenebrionidae,0.000743,0.84128202,W/kg,AnimalTraits
Physosterna cribripes,Insecta,Coleoptera,Tenebrionidae,0.001226,1.0611111,W/kg,AnimalTraits
Physosterna cribripes,Insecta,Coleoptera,Tenebrionidae,0.001285,0.79722222,W/kg,AnimalTraits
Physosterna cribripes,Insecta,Coleoptera,Tenebrionidae,0.001226,0.63609128,W/kg,AnimalTraits
Epiphysa arenicola,Insecta,Coleoptera,Tenebrionidae,0.001187,0.75920572,W/kg,AnimalTraits
Pantophthalmus tabaninus,Insecta,Diptera,Pantophthalmidae,0.001746,1.7129949,W/kg,AnimalTraits
Sisyphus fasciculatus,Insecta,Coleoptera,Scarabaeidae,0.000136,1.5333333,W/kg,AnimalTraits
Scarabaeus rusticus,Insecta,Coleoptera,Scarabaeidae,0.000564,0.84444444,W/kg,AnimalTraits
Anachalcos convexus,Insecta,Coleoptera,Scarabaeidae,0.001421,0.61666667,W/kg,AnimalTraits
Scarabaeus flavicornis,Insecta,Coleoptera,Scarabaeidae,0.000322,0.87222222,W/kg,AnimalTraits
Scarabaeus bacchus,Insecta,Coleoptera,Scarabaeidae,0.007285,0.28333333,W/kg,AnimalTraits
Helius waitei,Insecta,Coleoptera,Tenebrionidae,0.000716,1.9202931,W/kg,AnimalTraits
Helius waitei,Insecta,Coleoptera,Tenebrionidae,0.000672,2.4801587,W/kg,AnimalTraits
Helius waitei,Insecta,Coleoptera,Tenebrionidae,0.000704,2.0227763,W/kg,AnimalTraits
Helius waitei,Insecta,Coleoptera,Tenebrionidae,0.000757,1.421914,W/kg,AnimalTraits
Helius waitei,Insecta,Coleoptera,Tenebrionidae,0.000716,1.6459655,W/kg,AnimalTraits
Pterohelaeus sp.,Insecta,Coleoptera,Tenebrionidae,0.000252,1.0912142,W/kg,AnimalTraits
Pterohelaeus sp.,Insecta,Coleoptera,Tenebrionidae,0.000245,1.9557823,W/kg,AnimalTraits
Pterohelaeus sp.,Insecta,Coleoptera,Tenebrionidae,0.000229,1.3509136,W/kg,AnimalTraits
Pterohelaeus sp.,Insecta,Coleoptera,Tenebrionidae,0.000258,1.5342377,W/kg,AnimalTraits
