geoid,name,city_type,population,road_length_m,road_length_m_per_cap,year,source
0680000,Torrance city,urban,147067,801324.89,5.4487063,2020,quantify-infrastructure_ssp2
0617918,Daly City city,urban,104901,358472.75,3.4172481,2020,quantify-infrastructure_ssp2
0673262,South San Francisco city,urban,66105,350019.77,5.2949061,2020,quantify-infrastructure_ssp2
0670686,Seal Beach city,urban,25242,219208.17,8.684263,2020,quantify-infrastructure_ssp2
0680854,Tustin city,urban,80276,360780.36,4.4942494,2020,quantify-infrastructure_ssp2
0601150,Alondra Park CDP,urban,8569,1574.3217,0.18372292,2020,quantify-infrastructure_ssp2
0602980,Ashland CDP,urban,23823,77964.905,3.2726737,2020,quantify-infrastructure_ssp2
0608968,Burbank CDP,urban,4940,31669.609,6.410852,2020,quantify-infrastructure_ssp2
0616090,Contra Costa Centre CDP,urban,6808,40767.846,5.9882265,2020,quantify-infrastructure_ssp2
0620802,East Los Angeles CDP,urban,118786,59515.346,0.50102997,2020,quantify-infrastructure_ssp2
0624477,Florence-Graham CDP,urban,61983,55494.919,0.89532483,2020,quantify-infrastructure_ssp2
0641180,Lennox CDP,urban,20323,26747.113,1.3161006,2020,quantify-infrastructure_ssp2
0645806,Marina del Rey CDP,urban,11373,341.48513,0.03002595,2020,quantify-infrastructure_ssp2
0683402,Walnut Park CDP,urban,15214,34028.733,2.2366723,2020,quantify-infrastructure_ssp2
0684592,Westmont CDP,urban,33913,29189.202,0.86070834,2020,quantify-infrastructure_ssp2
0807850,Boulder city,urban,108250,794877.49,7.3429791,2020,quantify-infrastructure_ssp2
0830340,Glendale city,urban,4613,13191.677,2.8596742,2020,quantify-infrastructure_ssp2
0820000,Denver city,urban,715522,4849880.2,6.7781008,2020,quantify-infrastructure_ssp2
0827950,Four Square Mile CDP,urban,22872,65216.896,2.8513858,2020,quantify-infrastructure_ssp2
0952000,New Haven city,urban,134023,459470.27,3.4282942,2020,quantify-infrastructure_ssp2
0908000,Bridgeport city,urban,148654,635413.13,4.2744435,2020,quantify-infrastructure_ssp2
0973000,Stamford city,urban,135470,928502.13,6.8539317,2020,quantify-infrastructure_ssp2
0937000,Hartford city,urban,121054,401436.2,3.3161746,2020,quantify-infrastructure_ssp2
1077580,Wilmington city,urban,70898,341141.3,4.8117197,2020,quantify-infrastructure_ssp2
1150000,Washington city,urban,689545,2063462.1,2.9924981,2020,quantify-infrastructure_ssp2
1276600,West Palm Beach city,urban,117415,895966.47,7.6307667,2020,quantify-infrastructure_ssp2
1269700,Sunrise city,urban,97335,1086798.5,11.165546,2020,quantify-infrastructure_ssp2
1239475,Lauderdale-by-the-Sea town,urban,6198,70395.775,11.357821,2020,quantify-infrastructure_ssp2
1239525,Lauderdale Lakes city,urban,35954,359799.65,10.007222,2020,quantify-infrastructure_ssp2
1278000,Wilton Manors city,urban,11426,106382.67,9.3105789,2020,quantify-infrastructure_ssp2
1239550,Lauderhill city,urban,74482,336343.23,4.5157653,2020,quantify-infrastructure_ssp2
1232000,Hollywood city,urban,153067,1184160.8,7.7362256,2020,quantify-infrastructure_ssp2
1233625,Indian Rocks Beach city,urban,3673,50999.648,13.885012,2020,quantify-infrastructure_ssp2
1233675,Indian Shores town,urban,1190,4265.2714,3.5842617,2020,quantify-infrastructure_ssp2
1242400,Madeira Beach city,urban,3895,50560.439,12.980857,2020,quantify-infrastructure_ssp2
1249725,North Redington Beach town,urban,1495,13093.123,8.7579421,2020,quantify-infrastructure_ssp2
